"Tax Yr","Cat","EE_Rate","EE_AboveUEL","EE_AboveUAP","ER_Rate","ER_AboveUAP","ER_AboveUST","ER_AboveAUST","ER_AboveUEL","ER NIC Rebate","EE NIC Rebate","ER_RebateToST"
"2013","B",0.05,0.02,0.05,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2013","C",0.00,0.00,0.00,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2013","D",0.10,0.02,0.12,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2013","E",0.05,0.02,0.05,0.10,0.13,0.00,,0.13,0.00,0.00,0.03
"2013","J",0.02,0.02,0.02,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2013","L",0.02,0.02,0.02,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2014","A",0.12,0.02,0.12,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2014","B",0.05,0.02,0.05,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2014","C",0.00,0.00,0.00,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2014","D",0.10,0.02,0.12,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2014","E",0.05,0.02,0.05,0.10,0.13,0.00,,0.13,0.00,0.00,0.03
"2014","J",0.02,0.02,0.02,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2014","L",0.02,0.02,0.02,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2015","A",0.12,0.02,0.12,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2015","B",0.05,0.02,0.05,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2015","C",0.00,0.00,0.00,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2015","D",0.10,0.02,0.12,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2015","E",0.05,0.02,0.05,0.10,0.13,0.00,,0.13,0.00,0.00,0.03
"2015","I",0.10,0.02,0.12,0.00,0.00,0.00,,0.13,0.00,0.01,0.03
"2015","J",0.02,0.02,0.02,0.13,0.13,0.00,,0.13,0.00,0.00,0.00
"2015","K",0.02,0.02,0.02,0.00,0.00,0.00,,0.13,0.00,0.01,0.03
"2015","L",0.02,0.02,0.02,0.10,0.13,0.00,,0.13,0.00,0.01,0.03
"2015","M",0.12,0.02,0.12,0.00,0.00,0.00,,0.13,0.00,0.00,0.00
"2015","Z",0.02,0.02,0.02,0.00,0.00,0.00,,0.13,0.00,0.00,0.00
"2016","A",0.12,0.02,0.00,0.13,,0.00,0.00,0.13,0.00,0.00,0.00
"2016","B",0.05,0.02,0.00,0.13,,0.00,0.00,0.13,0.00,0.00,0.00
"2016","C",0.00,0.00,0.00,0.13,,0.00,0.00,0.13,0.00,0.00,0.00
"2016","E",0.05,0.02,0.00,0.10,,0.00,0.00,0.13,0.00,0.00,0.03
"2016","H",0.12,0.02,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00
"2016","J",0.02,0.02,0.00,0.13,,0.00,0.00,0.13,0.00,0.00,0.00
"2016","L",0.02,0.02,0.00,0.10,,0.00,0.00,0.13,0.00,0.01,0.03
"2016","M",0.12,0.02,0.00,0.00,,0.13,0.00,0.13,0.00,0.00,0.00
"2016","Z",0.02,0.02,0.00,0.00,,0.13,0.00,0.13,0.00,0.00,0.00
"2017","A",0.12,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2017","B",0.05,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2017","C",0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2017","H",0.12,0.02,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00
"2017","J",0.02,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2017","M",0.12,0.02,0.00,0.00,0.00,0.13,0.00,0.13,0.00,0.00,0.00
"2017","Z",0.02,0.02,0.00,0.00,0.00,0.13,0.00,0.13,0.00,0.00,0.00
"2018","A",0.12,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2018","B",0.05,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2018","C",0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2018","H",0.12,0.02,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00
"2018","J",0.02,0.02,0.00,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"2018","M",0.12,0.02,0.00,0.00,0.00,0.13,0.00,0.13,0.00,0.00,0.00
